date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:54	129/129	---M-Z	200	added ('OK')	text/plain	date:Fri,%2024%20Oct%202025%2014:15:53%20GMT	https://www.javierfergo.com/robots.txt		(from )
16:15:55	64815/64815	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Oct%202025%2014:15:54%20GMT	https://www.javierfergo.com/	./mirror-javierfergo/index-2.html	(from )
16:15:55	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2024%20Oct%202025%2014:15:55%20GMT	https://www.javierfergo.com/xmlrpc.php	./mirror-javierfergo/xmlrpc.php	(from https://www.javierfergo.com/)
16:15:56	95021/95021	---M-Z	200	added ('OK')	text/css	etag:%221732d-5fc21d922cb1a-gzip%22	https://www.javierfergo.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.9	./mirror-javierfergo/wp-includes/css/dist/block-library/style.minb7d5.css	(from https://www.javierfergo.com/)
16:15:57	217/217	---M-Z	200	added ('OK')	text/css	etag:%22d9-5f6dd40cfdb2c-gzip%22	https://www.javierfergo.com/wp-includes/css/classic-themes.min.css?ver=1	./mirror-javierfergo/wp-includes/css/classic-themes.min68b3.css	(from https://www.javierfergo.com/)
16:15:58	1070/1070	---M-Z	200	added ('OK')	application/rss+xml	etag:%225d2f3ece8384a3ae02048652a99c1edb-gzip%22	https://www.javierfergo.com/feed/	./mirror-javierfergo/feed/index.html	(from https://www.javierfergo.com/)
16:15:58	736/736	---M-Z	200	added ('OK')	application/rss+xml	etag:%225d2f3ece8384a3ae02048652a99c1edb-gzip%22	https://www.javierfergo.com/comments/feed/	./mirror-javierfergo/comments/feed/index.html	(from https://www.javierfergo.com/)
16:15:58	2673/2673	---M-Z	200	added ('OK')	text/css	etag:%22a71-546c863f196cd-gzip%22	https://www.javierfergo.com/wp-content/themes/trend/bw/assets/css/shortcode.css?ver=3.7.1	./mirror-javierfergo/wp-content/themes/trend/bw/assets/css/shortcodef43b.css	(from https://www.javierfergo.com/)
16:15:58	724/724	---M-Z	200	added ('OK')	application/rss+xml	etag:%225d2f3ece8384a3ae02048652a99c1edb-gzip%22	https://www.javierfergo.com/home/feed/	./mirror-javierfergo/home/feed/index.html	(from https://www.javierfergo.com/)
16:15:59	13030/13030	---M-Z	200	added ('OK')	text/css	etag:%2232e6-546c863f1f48d-gzip%22	https://www.javierfergo.com/wp-content/themes/trend/style.css?ver=3.7.1	./mirror-javierfergo/wp-content/themes/trend/stylef43b.css	(from https://www.javierfergo.com/)
16:16:00	7934/7934	---M-Z	200	added ('OK')	text/css	etag:%221efe-546c863f2bfad-gzip%22	https://www.javierfergo.com/wp-content/themes/trend/assets/css/vendors/jquery.owl.carousel/owl.carousel.all.css?ver=3.7.1	./mirror-javierfergo/wp-content/themes/trend/assets/css/vendors/jquery.owl.carousel/owl.carousel.allf43b.css	(from https://www.javierfergo.com/)
16:16:01	69363/69363	---M-Z	200	added ('OK')	text/css	etag:%2210ef3-546c863f2b00d-gzip%22	https://www.javierfergo.com/wp-content/themes/trend/assets/css/style.css?ver=3.7.1	./mirror-javierfergo/wp-content/themes/trend/assets/css/stylef43b.css	(from https://www.javierfergo.com/)
16:16:02	5120/5120	---M-Z	200	added ('OK')	text/css	etag:%221400-546c863f2b00d-gzip%22	https://www.javierfergo.com/wp-content/themes/trend/assets/css/media.css?ver=3.7.1	./mirror-javierfergo/wp-content/themes/trend/assets/css/mediaf43b.css	(from https://www.javierfergo.com/)
16:16:03	13714/13714	---M-Z	200	added ('OK')	text/css	etag:%223592-546c863f261ed-gzip%22	https://www.javierfergo.com/wp-content/themes/trend/assets/css/jquery.mcustomscrollbar.css?ver=3.7.1	./mirror-javierfergo/wp-content/themes/trend/assets/css/jquery.mcustomscrollbarf43b.css	(from https://www.javierfergo.com/)
16:16:04	36903/36903	---M-Z	200	added ('OK')	text/css	etag:%229027-546c863f2b00d-gzip%22	https://www.javierfergo.com/wp-content/themes/trend/assets/css/dashicons.css?ver=3.7.1	./mirror-javierfergo/wp-content/themes/trend/assets/css/dashiconsf43b.css	(from https://www.javierfergo.com/)
16:16:05	64689/64689	---M-Z	200	added ('OK')	text/css	etag:%22fcb1-641e67c5a3f01-gzip%22	https://www.javierfergo.com/wp-content/plugins/master-slider/public/assets/css/masterslider.main.css?ver=3.11.0	./mirror-javierfergo/wp-content/plugins/master-slider/public/assets/css/masterslider.mainf416.css	(from https://www.javierfergo.com/)
16:16:06	883/883	---M-Z	200	added ('OK')	text/css	etag:%22373-641e67d80bdea-gzip%22	https://www.javierfergo.com/wp-content/uploads/master-slider/custom.css?ver=8	./mirror-javierfergo/wp-content/uploads/master-slider/custom5055.css	(from https://www.javierfergo.com/)
16:16:07	89684/89684	---M-Z	200	added ('OK')	application/javascript	etag:%2215e54-5f6dd40ce25aa-gzip%22	https://www.javierfergo.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	./mirror-javierfergo/wp-includes/js/jquery/jquery.mina7a0.js	(from https://www.javierfergo.com/)
16:16:08	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%222bd8-5f6dd40ce25aa-gzip%22	https://www.javierfergo.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	./mirror-javierfergo/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.javierfergo.com/)
16:16:09	5369/5369	---M--	200	added ('OK')	application/json	date:Fri,%2024%20Oct%202025%2014:16:09%20GMT	https://www.javierfergo.com/wp-json/wp/v2/pages/559	./mirror-javierfergo/wp-json/wp/v2/pages/559.json	(from https://www.javierfergo.com/)
16:16:10	177210/177210	---MC-	200	added ('OK')	application/json	date:Fri,%2024%20Oct%202025%2014:16:10%20GMT	https://www.javierfergo.com/wp-json/	./mirror-javierfergo/wp-json/index.html	(from https://www.javierfergo.com/)
16:16:10	829/829	---M-Z	200	added ('OK')	text/xml	date:Fri,%2024%20Oct%202025%2014:16:10%20GMT	https://www.javierfergo.com/xmlrpc.php?rsd	./mirror-javierfergo/xmlrpc0db0.php	(from https://www.javierfergo.com/)
16:16:11	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-544d3e3358cf3-gzip%22	https://www.javierfergo.com/wp-includes/wlwmanifest.xml	./mirror-javierfergo/wp-includes/wlwmanifest.xml	(from https://www.javierfergo.com/)
16:16:12	2476/2476	---M--	200	added ('OK')	application/json	date:Fri,%2024%20Oct%202025%2014:16:12%20GMT	https://www.javierfergo.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.javierfergo.com%2F	./mirror-javierfergo/wp-json/oembed/1.0/embed4bf0.json	(from https://www.javierfergo.com/)
16:16:13	2554/2554	---M-Z	200	added ('OK')	text/xml	date:Fri,%2024%20Oct%202025%2014:16:13%20GMT	https://www.javierfergo.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.javierfergo.com%2F&format=xml	./mirror-javierfergo/wp-json/oembed/1.0/embed4938	(from https://www.javierfergo.com/)
16:16:14	326/326	---M--	200	added ('OK')	text/html	etag:%22146-641e67c5a4ea1%22	https://www.javierfergo.com/wp-content/plugins/master-slider/public/assets/css/common/grabbing.cur	./mirror-javierfergo/wp-content/plugins/master-slider/public/assets/css/common/grabbing.html	(from https://www.javierfergo.com/)
16:16:15	326/326	---M--	200	added ('OK')	text/html	etag:%22146-641e67c5a4ea1%22	https://www.javierfergo.com/wp-content/plugins/master-slider/public/assets/css/common/grab.cur	./mirror-javierfergo/wp-content/plugins/master-slider/public/assets/css/common/grab.html	(from https://www.javierfergo.com/)
16:16:16	1005/1005	---M--	200	added ('OK')	image/png	etag:%223ed-546d2478d331c%22	https://www.javierfergo.com/wp-content/uploads/2015/04/cropped-Camera_Logo-32x32.png	./mirror-javierfergo/wp-content/uploads/2015/04/cropped-Camera_Logo-32x32.png	(from https://www.javierfergo.com/)
16:16:17	8532/8532	---M--	200	added ('OK')	image/png	etag:%222154-546d2478c779d%22	https://www.javierfergo.com/wp-content/uploads/2015/04/cropped-Camera_Logo-192x192.png	./mirror-javierfergo/wp-content/uploads/2015/04/cropped-Camera_Logo-192x192.png	(from https://www.javierfergo.com/)
16:16:18	18047/18047	---M--	200	added ('OK')	image/png	etag:%22467f-546d2478d043d%22	https://www.javierfergo.com/wp-content/uploads/2015/04/cropped-Camera_Logo-180x180.png	./mirror-javierfergo/wp-content/uploads/2015/04/cropped-Camera_Logo-180x180.png	(from https://www.javierfergo.com/)
